sample	unit	platform	fq1	fq2
M1G02s1	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S1A06.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S1A06.fastq.gz
M1G02s2	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S2A06.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S2A06.fastq.gz
M1G02s3	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S3A06.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S3A06.fastq.gz
M1G03s1	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S1A11.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S1A11.fastq.gz
M1G03s2	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S2A11.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S2A11.fastq.gz
M1G03s3	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S3A11.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S3A11.fastq.gz
M1G04s2	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S1E02.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S1E02.fastq.gz
M1G04s3	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S2E02.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S2E02.fastq.gz
M1G04s1	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S3E02.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S3E02.fastq.gz
M1G05s1	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S4G02.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S4G02.fastq.gz
M1G05s2	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S4G05.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S4G05.fastq.gz
M1G05s3	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S4G08.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S4G08.fastq.gz
M1G05s4	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S4G11.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S4G11.fastq.gz
M1G06s1	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S1A03.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S1A03.fastq.gz
M1G06s2	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S2A03.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S2A03.fastq.gz
M1G06s3	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S3A03.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S3A03.fastq.gz
M1G07s1	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S1G12.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S1G12.fastq.gz
M1G07s2	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S2G12.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S2G12.fastq.gz
M1G07s3	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S3G12.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S3G12.fastq.gz
M1G08s3	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S1F11.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S1F11.fastq.gz
M1G08s1	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S2F11.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S2F11.fastq.gz
M1G08s2	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S3F11.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S3F11.fastq.gz
M1G09s1	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S1E12.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S1E12.fastq.gz
M1G09s2	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S2E12.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S2E12.fastq.gz
M1G09s3	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S3E12.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S3E12.fastq.gz
M1G10p1s1	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S1C02.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S1C02.fastq.gz
M1G10p2s1	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S1E05.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S1E05.fastq.gz
M1G10p1s2	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S2C02.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S2C02.fastq.gz
M1G10p2s2	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S2E05.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S2E05.fastq.gz
M1G10p1s3	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S3C02.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S3C02.fastq.gz
M1G10p2s3	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S3E05.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S3E05.fastq.gz
M2G01s2	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S1E09.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S1E09.fastq.gz
M2G01s3	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S2E09.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S2E09.fastq.gz
M2G01s1	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S3E09.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S3E09.fastq.gz
M2G02s3	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S1G08.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S1G08.fastq.gz
M2G02s1	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S2G08.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S2G08.fastq.gz
M2G02s2	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S3G08.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S3G08.fastq.gz
M2G03s1	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S4C01.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S4C01.fastq.gz
M2G03s2	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S4C04.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S4C04.fastq.gz
M2G03s3	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S4C07.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S4C07.fastq.gz
M2G03s4	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S4C10.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S4C10.fastq.gz
M2G04s1	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S1H08.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S1H08.fastq.gz
M2G04s2	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S2H08.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S2H08.fastq.gz
M2G04s3	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S3H08.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S3H08.fastq.gz
M2G05s3	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S1G07.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S1G07.fastq.gz
M2G05s1	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S2G07.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S2G07.fastq.gz
M2G05s2	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S3G07.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S3G07.fastq.gz
M2G06s1	1	-	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R1_S1H07.fastq.gz	PATH/TO/DATA/sflava_exp_evol/temporal/HWLYGDSX5_R2_S1H07.fastq.gz
